N-24
    1.000000      0.1300000E-01
   0.9787017      0.1812564E-01
   0.9530836      0.2467423E-01
   0.9240291      0.3261473E-01
   0.8912520      0.4223735E-01
   0.8552583      0.5353353E-01
   0.8174691      0.6591359E-01
   0.7795382      0.7851841E-01
   0.7424895      0.9064919E-01
   0.7064832      0.1019423    
   0.6710632      0.1123059    
   0.6356475      0.1218611    
   0.5998807      0.1307044    
   0.5636382      0.1388503    
   0.5270446      0.1462535    
   0.4904915      0.1528335    
   0.4545404      0.1584839    
   0.4195328      0.1631158    
   0.3854580      0.1667119    
   0.3520620      0.1692799    
   0.3189142      0.1708115    
   0.2853963      0.1712433    
   0.2509111      0.1703192    
   0.2160354      0.1676347    
   0.1829743      0.1631308    
   0.1540124      0.1573502    
   0.1298012      0.1510031    
   0.1095646      0.1444069    
   0.9207354E-01  0.1375096    
   0.7637607E-01  0.1301135    
   0.6175504E-01  0.1218808    
   0.4815472E-01  0.1126927    
   0.3655273E-01  0.1034441    
   0.2733676E-01  0.9507228E-01
   0.2005671E-01  0.8777050E-01
   0.1433432E-01  0.8140209E-01
   0.9845292E-02  0.7573329E-01
   0.6336769E-02  0.7057325E-01
   0.3644441E-02  0.6578860E-01
   0.1667064E-02  0.6128517E-01
   0.3474554E-03  0.5699292E-01
  -0.3376343E-03  0.5285617E-01
  -0.3808862E-03  0.4882688E-01
   0.2578249E-03  0.4485914E-01
   0.1612571E-02  0.4091016E-01
   0.3676393E-02  0.3694900E-01
   0.6470481E-02  0.3295241E-01
   0.1005257E-01  0.2890468E-01
   0.1452199E-01  0.2480362E-01
   0.2002471E-01  0.2067961E-01
   0.2673437E-01  0.1665125E-01
   0.3488566E-01  0.1294363E-01
   0.4499050E-01  0.9751502E-02
   0.5775678E-01  0.7274839E-02
   0.7393618E-01  0.5494885E-02
   0.9423574E-01  0.3777901E-02
   0.1193502      0.1976894E-02
   0.1487677      0.4481403E-03
   0.1813818     -0.3960038E-03
   0.2168288     -0.4841492E-03
   0.2546196      0.3914668E-04
   0.2941162      0.8753650E-03
   0.3348158      0.1661604E-02
   0.3763965      0.2309112E-02
   0.4183014      0.2853495E-02
   0.4601230      0.3340448E-02
   0.5019831      0.3823552E-02
   0.5431708      0.4314743E-02
   0.5834671      0.4727551E-02
   0.6229763      0.4967700E-02
   0.6620279      0.4949775E-02
   0.7011517      0.4583353E-02
   0.7410832      0.3812064E-02
   0.7822985      0.2785574E-02
   0.8242466      0.1758450E-02
   0.8652551      0.1025325E-02
   0.9030518      0.8030005E-03
   0.9363134      0.1097545E-02
   0.9650977      0.1739604E-02
   0.9901215      0.2589680E-02
    1.000000      0.3000000E-02
